epoch 0 train loss : tensor(0.1126, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.17122044804550351 epoch time : 78.78494310379028
epoch 1 train loss : tensor(0.0951, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.14685000266347611 epoch time : 72.201500415802
epoch 2 train loss : tensor(0.0858, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.13112634065605344 epoch time : 72.37281036376953
epoch 3 train loss : tensor(0.0809, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.12896639108657837 epoch time : 72.21233010292053
epoch 4 train loss : tensor(0.0820, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.12767947500660307 epoch time : 72.38000798225403
epoch 5 train loss : tensor(0.0740, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.11624021225032352 epoch time : 72.35795855522156
epoch 6 train loss : tensor(0.0685, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.11106529299701963 epoch time : 72.41786813735962
epoch 7 train loss : tensor(0.0673, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.10735643051919483 epoch time : 72.25251483917236
epoch 8 train loss : tensor(0.0698, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.10457811681997209 epoch time : 72.18240022659302
epoch 9 train loss : tensor(0.0663, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.10247498076586496 epoch time : 72.2886610031128
epoch 10 train loss : tensor(0.0682, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.09987474020038332 epoch time : 72.45579862594604
epoch 11 train loss : tensor(0.0600, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.0963520538948831 epoch time : 72.25070881843567
epoch 12 train loss : tensor(0.0604, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.09486982474724452 epoch time : 72.17872667312622
epoch 13 train loss : tensor(0.0578, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.09136974847032911 epoch time : 72.34257316589355
epoch 14 train loss : tensor(0.0575, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.09435825830414182 epoch time : 72.17907977104187
epoch 15 train loss : tensor(0.0589, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.08963302735771451 epoch time : 72.28944754600525
epoch 16 train loss : tensor(0.0534, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.08648328554062616 epoch time : 72.2375841140747
epoch 17 train loss : tensor(0.0553, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.08566868872869582 epoch time : 72.0227530002594
epoch 18 train loss : tensor(0.0528, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.08726187227737336 epoch time : 72.03031468391418
epoch 19 train loss : tensor(0.0521, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.08406596027669452 epoch time : 72.53183555603027
epoch 20 train loss : tensor(0.0493, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.08405827482541402 epoch time : 72.10882210731506
epoch 21 train loss : tensor(0.0503, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.08093135697501046 epoch time : 72.26149296760559
epoch 22 train loss : tensor(0.0509, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.08134607261135465 epoch time : 72.13637614250183
epoch 23 train loss : tensor(0.0500, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.07973629910321463 epoch time : 72.23326778411865
epoch 24 train loss : tensor(0.0503, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.08109183467569805 epoch time : 72.2304368019104
epoch 25 train loss : tensor(0.0517, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.08220912941864558 epoch time : 72.1617865562439
epoch 26 train loss : tensor(0.0497, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.07846647252639134 epoch time : 72.582590341568
epoch 27 train loss : tensor(0.0512, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.0808793150243305 epoch time : 71.89886713027954
epoch 28 train loss : tensor(0.0499, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.07885492486613137 epoch time : 72.1034255027771
epoch 29 train loss : tensor(0.0473, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.07643977871962956 epoch time : 72.04713296890259
epoch 30 train loss : tensor(0.0481, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.07597178859370095 epoch time : 72.25731182098389
epoch 31 train loss : tensor(0.0481, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.07420945309457325 epoch time : 72.08488082885742
epoch 32 train loss : tensor(0.0463, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.07598854849735896 epoch time : 71.98338913917542
epoch 33 train loss : tensor(0.0432, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.07374722439618338 epoch time : 72.19308519363403
epoch 34 train loss : tensor(0.0453, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.07286030054092407 epoch time : 72.47486233711243
epoch 35 train loss : tensor(0.0433, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.07488785187403361 epoch time : 71.98093843460083
epoch 36 train loss : tensor(0.0439, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.07388792683680852 epoch time : 72.00627899169922
epoch 37 train loss : tensor(0.0444, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.0716741674003147 epoch time : 72.36520075798035
epoch 38 train loss : tensor(0.0473, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.07370420332465853 epoch time : 72.05312490463257
epoch 39 train loss : tensor(0.0426, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.06952759410653796 epoch time : 72.10749244689941
epoch 40 train loss : tensor(0.0418, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.0699246476093928 epoch time : 72.13309144973755
epoch 41 train loss : tensor(0.0436, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.06967948483569282 epoch time : 71.93261694908142
epoch 42 train loss : tensor(0.0417, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.06730020294586818 epoch time : 72.42125153541565
epoch 43 train loss : tensor(0.0400, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.06709154092130207 epoch time : 72.2864511013031
epoch 44 train loss : tensor(0.0424, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.06628690305210296 epoch time : 72.62976694107056
epoch 45 train loss : tensor(0.0408, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.06627932279592469 epoch time : 72.02706146240234
epoch 46 train loss : tensor(0.0378, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.06691837612362135 epoch time : 72.67425179481506
epoch 47 train loss : tensor(0.0385, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.06669276172206515 epoch time : 72.58581948280334
epoch 48 train loss : tensor(0.0377, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.064244523112263 epoch time : 72.52971339225769
epoch 49 train loss : tensor(0.0396, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.06702496696795736 epoch time : 72.30736565589905
epoch 50 train loss : tensor(0.0366, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.06466928834006899 epoch time : 72.13474607467651
epoch 51 train loss : tensor(0.0393, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.06449908550296511 epoch time : 71.9178159236908
epoch 52 train loss : tensor(0.0395, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.06731782942300751 epoch time : 72.00492477416992
epoch 53 train loss : tensor(0.0390, device='cuda:0', grad_fn=<DivBackward0>) test loss : 0.06415656368647303 epoch time : 72.47864603996277
